id,original_filename,stored_filename,file_size,file_path,duration,fps,is_referenced,uploaded_by,created_at,updated_at,model_analysis_exists
16,동원그룹_[동원그룹 브랜드 캠페인] 필요에 답하다.mp4,b434226c_동원그룹__동원그룹_브랜드_캠페인__필요에_답하다.mp4,12302097,uploads\2026-04\b434226c_동원그룹__동원그룹_브랜드_캠페인__필요에_답하다.mp4,,,1,3,2026-04-09 07:30:49.401000,2026-04-23 01:22:03.759000,1
17,소노호텔 앤 리조트_SOL BEACH NAMHAE - 브랜드필름 (30s).mp4,0fd216ff_소노호텔_앤_리조트_SOL_BEACH_NAMHAE_-_브랜드필름__30s_.mp4,12596515,uploads\2026-04\0fd216ff_소노호텔_앤_리조트_SOL_BEACH_NAMHAE_-_브랜드필름__30s_.mp4,,,1,3,2026-04-09 07:30:50.183000,2026-04-23 01:22:03.761000,1
18,코닥어패럴_2025 KODAK BREEZE MOMENT with HYEYOON.mp4,c690aa81_코닥어패럴_2025_KODAK_BREEZE_MOMENT_with_HYEYOON.mp4,15860013,uploads\2026-04\c690aa81_코닥어패럴_2025_KODAK_BREEZE_MOMENT_with_HYEYOON.mp4,,,1,3,2026-04-09 07:30:51.124000,2026-04-23 01:22:03.763000,1
19,현대해상 기업PR_마음 넓은 보험.mp4,13f46e0c_현대해상_기업PR_마음_넓은_보험.mp4,12405751,uploads\2026-04\13f46e0c_현대해상_기업PR_마음_넓은_보험.mp4,,,1,3,2026-04-09 07:30:51.929000,2026-04-23 01:22:03.765000,1
20,해인 리프팅 앰플 마스크_HAEIN Brand Film (1).mp4,fa5445f8_해인_리프팅_앰플_마스크_HAEIN_Brand_Film__1_.mp4,6291685,uploads\2026-04\fa5445f8_해인_리프팅_앰플_마스크_HAEIN_Brand_Film__1_.mp4,,,1,3,2026-04-13 12:07:40.478000,2026-04-23 01:22:03.766000,1
21,"한국산업은행_삼촌, 지금 밥이 넘어가_ (15초).mp4",c5c8f32b_한국산업은행_삼촌__지금_밥이_넘어가___15초_.mp4,6029095,uploads\2026-04\c5c8f32b_한국산업은행_삼촌__지금_밥이_넘어가___15초_.mp4,,,1,3,2026-04-13 12:07:40.815000,2026-04-23 01:22:03.768000,1
22,"프롬바이오 위건강엔 매스틱_프롬바이오의 새로운 얼굴, 배우 이준혁의 선택.mp4",dfe4982c_프롬바이오_위건강엔_매스틱_프롬바이오의_새로운_얼굴__배우_이준혁의_선택.mp4,6199620,uploads\2026-04\dfe4982c_프롬바이오_위건강엔_매스틱_프롬바이오의_새로운_얼굴__배우_이준혁의_선택.mp4,,,1,3,2026-04-13 12:07:41.179000,2026-04-23 01:22:03.770000,1
23,풀리오체어_리올랙스 멀티 체어 TVCF (FULL ver.).mp4,3ce6ce64_풀리오체어_리올랙스_멀티_체어_TVCF__FULL_ver__.mp4,10936575,uploads\2026-04\3ce6ce64_풀리오체어_리올랙스_멀티_체어_TVCF__FULL_ver__.mp4,,,1,3,2026-04-13 12:07:41.791000,2026-04-23 01:22:03.772000,1
24,이삭토스트_이삭의 표정은 오늘도 즐거움.mp4,782549eb_이삭토스트_이삭의_표정은_오늘도_즐거움.mp4,11671112,uploads\2026-04\782549eb_이삭토스트_이삭의_표정은_오늘도_즐거움.mp4,,,1,3,2026-04-13 12:07:42.473000,2026-04-23 01:22:03.774000,1
25,KT 아이폰 17 Pro_코르티스와 만나는 iPhone17 Pro! KT 미리보상으로 50% 즉시 할인.mp4,6319903c_KT_아이폰_17_Pro_코르티스와_만나는_iPhone17_Pro__KT_미리보상으로_50.mp4,12137219,uploads\2026-04\6319903c_KT_아이폰_17_Pro_코르티스와_만나는_iPhone17_Pro__KT_미리보상으로_50.mp4,,,1,2,2026-04-15 07:43:02.214000,2026-04-23 01:22:03.776000,1
26,관절보궁_2025년 관절보궁 주접.mp4,1fdab022_관절보궁_2025년_관절보궁_주접.mp4,12510300,uploads\2026-04\1fdab022_관절보궁_2025년_관절보궁_주접.mp4,,,1,2,2026-04-15 07:43:05.652000,2026-04-23 01:22:03.777000,1
27,"네이처 메이드_드디어, 모두의 비타민C.mp4",d68fd5e9_네이처_메이드_드디어__모두의_비타민C.mp4,6137623,uploads\2026-04\d68fd5e9_네이처_메이드_드디어__모두의_비타민C.mp4,,,1,2,2026-04-15 07:43:06.680000,2026-04-23 01:22:03.779000,1
28,"세계명품 패션그룹 역대급대개방_창고, 대처분합니다.mp4",d19886e1_세계명품_패션그룹_역대급대개방_창고__대처분합니다.mp4,6081084,uploads\2026-04\d19886e1_세계명품_패션그룹_역대급대개방_창고__대처분합니다.mp4,,,1,2,2026-04-15 07:43:07.222000,2026-04-23 01:22:03.781000,1
29,AXA 손해보험_AXA 365 CARE (30”).mp4,de765ae9_AXA_손해보험_AXA_365_CARE__30__.mp4,12271705,uploads\2026-04\de765ae9_AXA_손해보험_AXA_365_CARE__30__.mp4,,,1,2,2026-04-15 07:43:21.759000,2026-04-23 01:22:03.783000,1
30,"센티바 세정살균티슈_청소와 살균을 쉽게, 향으로 기분 좋게!.mp4",e45ea3ac_센티바_세정살균티슈_청소와_살균을_쉽게__향으로_기분_좋게_.mp4,5800762,uploads\2026-04\e45ea3ac_센티바_세정살균티슈_청소와_살균을_쉽게__향으로_기분_좋게_.mp4,,,0,2,2026-04-21 08:32:06.130000,2026-05-13 07:26:36.761000,1
32,스텔라떡볶이_스텔라 냉떡볶이.mp4,a5f58792_스텔라떡볶이_스텔라_냉떡볶이.mp4,6396939,uploads\2026-04\a5f58792_스텔라떡볶이_스텔라_냉떡볶이.mp4,,,0,2,2026-04-21 08:32:08.882000,2026-05-13 07:26:36.775000,1
33,"시그널플래너_[시그널플래너X시그널보이] 전화받지마 - 전화 없는 보험앱, 시그널플래너.mp4",49006564_시그널플래너__시그널플래너X시그널보이__전화받지마_-_전화_없는_보험앱__시그널플래너.mp4,6329747,uploads\2026-04\49006564_시그널플래너__시그널플래너X시그널보이__전화받지마_-_전화_없는_보험앱__시그널플래너.mp4,,,0,2,2026-04-21 08:32:10.048000,2026-05-13 07:26:36.778000,1
34,"아로나민 씨플러스_피로회복도 프로답게, 아로나민 씨플러스!.mp4",32c7e75f_아로나민_씨플러스_피로회복도_프로답게__아로나민_씨플러스_.mp4,5810319,uploads\2026-04\32c7e75f_아로나민_씨플러스_피로회복도_프로답게__아로나민_씨플러스_.mp4,,,0,2,2026-04-21 08:32:10.068000,2026-05-13 07:26:36.780000,1
35,아워팜 바로타민 키즈_원료부터 올바로! 바로타민 키즈.mp4,d77efb26_아워팜_바로타민_키즈_원료부터_올바로__바로타민_키즈.mp4,2352323,uploads\2026-04\d77efb26_아워팜_바로타민_키즈_원료부터_올바로__바로타민_키즈.mp4,,,0,2,2026-04-21 08:32:10.209000,2026-05-13 07:26:36.782000,1
36,아사히 슈퍼드라이 생맥주캔_아사히 수퍼드라이 생맥주캔 _ 대용량 출시 (15’’).mp4,3ab9c3e5_아사히_슈퍼드라이_생맥주캔_아사히_수퍼드라이_생맥주캔___대용량_출시__15___.mp4,5944034,uploads\2026-04\3ab9c3e5_아사히_슈퍼드라이_생맥주캔_아사히_수퍼드라이_생맥주캔___대용량_출시__15___.mp4,,,0,2,2026-04-21 08:32:10.261000,2026-04-23 01:55:05.511000,0
37,아이오페 XMD 스템3_스킨부스팅 특수관리와 1_1 비교.mp4,96259d17_아이오페_XMD_스템3_스킨부스팅_특수관리와_1_1_비교.mp4,5894176,uploads\2026-04\96259d17_아이오페_XMD_스템3_스킨부스팅_특수관리와_1_1_비교.mp4,,,0,2,2026-04-21 08:32:12.001000,2026-05-13 07:26:36.784000,1
38,알페신 칵테일 샴푸C1_카페인으로 힘 있는 모발.mp4,f261d805_알페신_칵테일_샴푸C1_카페인으로_힘_있는_모발.mp4,5294857,uploads\2026-04\f261d805_알페신_칵테일_샴푸C1_카페인으로_힘_있는_모발.mp4,,,0,2,2026-04-21 08:32:12.767000,2026-05-13 07:26:36.787000,1
39,알레그라_다 알잖아_ '알레르기엔 알레그라!' 15s.mp4,ac925783_알레그라_다_알잖아___알레르기엔_알레그라___15s.mp4,5609918,uploads\2026-04\ac925783_알레그라_다_알잖아___알레르기엔_알레그라___15s.mp4,,,0,2,2026-04-21 08:32:12.939000,2026-05-13 07:26:36.789000,1
40,"액티비아 부스트샷3_장 끝까지 활약, 살아가는 체온 활동 유산균! NEW 액티비아 부스트샷3.mp4",6c8ad732_액티비아_부스트샷3_장_끝까지_활약__살아가는_체온_활동_유산균__NEW_액티비아_부스트샷.mp4,5302804,uploads\2026-04\6c8ad732_액티비아_부스트샷3_장_끝까지_활약__살아가는_체온_활동_유산균__NEW_액티비아_부스트샷.mp4,,,0,2,2026-04-21 08:32:12.977000,2026-05-13 07:26:36.790000,1
41,에크린겔_좁쌀 여드름 원인부터 약으로 제대로 (15s).mp4,6fff7598_에크린겔_좁쌀_여드름_원인부터_약으로_제대로__15s_.mp4,6179381,uploads\2026-04\6fff7598_에크린겔_좁쌀_여드름_원인부터_약으로_제대로__15s_.mp4,,,0,2,2026-04-21 08:32:15.300000,2026-05-13 07:26:36.793000,1
42,오버더 바이크_없다. 소음이 없다. 15s.mp4,7139c991_오버더_바이크_없다__소음이_없다__15s.mp4,5984331,uploads\2026-04\7139c991_오버더_바이크_없다__소음이_없다__15s.mp4,,,0,2,2026-04-21 08:32:15.354000,2026-05-13 07:26:36.795000,1
43,와사비새우깡_톡 쏘는 와사비를 만난 새우깡&크레오파트라.mp4,f1dee298_와사비새우깡_톡_쏘는_와사비를_만난_새우깡_크레오파트라.mp4,6059686,uploads\2026-04\f1dee298_와사비새우깡_톡_쏘는_와사비를_만난_새우깡_크레오파트라.mp4,,,0,2,2026-04-21 08:32:15.411000,2026-05-13 07:26:36.801000,1
44,애크린겔_좁쌀 여드름 원인부터 약으로 제대로 (30s).mp4,e3d2a33f_애크린겔_좁쌀_여드름_원인부터_약으로_제대로__30s_.mp4,12058845,uploads\2026-04\e3d2a33f_애크린겔_좁쌀_여드름_원인부터_약으로_제대로__30s_.mp4,,,0,2,2026-04-21 08:32:15.805000,2026-05-13 07:26:36.803000,1
45,유니프_한가인이 선택한 똑똑한 주스.mp4,b53b9357_유니프_한가인이_선택한_똑똑한_주스.mp4,3095309,uploads\2026-04\b53b9357_유니프_한가인이_선택한_똑똑한_주스.mp4,,,0,2,2026-04-21 08:32:16.722000,2026-05-13 07:26:36.805000,1
46,어쩌면 해피엔딩_10년의 여정을 기념할 레전드 캐스트와 새로운 캐스트의 완벽한 조화!.mp4,8b69a25c_어쩌면_해피엔딩_10년의_여정을_기념할_레전드_캐스트와_새로운_캐스트의_완벽한_조화_.mp4,11117527,uploads\2026-04\8b69a25c_어쩌면_해피엔딩_10년의_여정을_기념할_레전드_캐스트와_새로운_캐스트의_완벽한_조화_.mp4,,,0,2,2026-04-21 08:32:16.791000,2026-05-13 07:26:36.807000,1
47,쏘팔 코사놀 RED_남자의 고민 전립선! 지구력! +활력.mp4,1bf8705b_쏘팔_코사놀_RED_남자의_고민_전립선__지구력___활력.mp4,22563887,uploads\2026-04\1bf8705b_쏘팔_코사놀_RED_남자의_고민_전립선__지구력___활력.mp4,,,0,2,2026-04-21 08:32:17.365000,2026-05-13 07:26:36.808000,1
48,용각산 쿨_[용각산쿨]칙칙촉촉.mp4,1093545a_용각산_쿨__용각산쿨_칙칙촉촉.mp4,5673563,uploads\2026-04\1093545a_용각산_쿨__용각산쿨_칙칙촉촉.mp4,,,0,2,2026-04-21 08:32:17.735000,2026-05-13 07:26:36.811000,1
49,"익수 공진단_부담없이 1환부터, 익수 공진단.mp4",90dbbacd_익수_공진단_부담없이_1환부터__익수_공진단.mp4,5578109,uploads\2026-04\90dbbacd_익수_공진단_부담없이_1환부터__익수_공진단.mp4,,,0,3,2026-04-21 08:32:18.020000,2026-05-13 07:26:36.812000,1
50,유세린 에피셀린 세럼_피부시간을 되돌리는 혁신 1.mp4,ee4c75b4_유세린_에피셀린_세럼_피부시간을_되돌리는_혁신_1.mp4,5939063,uploads\2026-04\ee4c75b4_유세린_에피셀린_세럼_피부시간을_되돌리는_혁신_1.mp4,,,0,3,2026-04-21 08:32:18.064000,2026-05-13 07:26:36.814000,1
51,"일동제약 케어리브_어디든 착!착!착! 상처에 착!케어, 케어리브.mp4",4deef022_일동제약_케어리브_어디든_착_착_착__상처에_착_케어__케어리브.mp4,5886604,uploads\2026-04\4deef022_일동제약_케어리브_어디든_착_착_착__상처에_착_케어__케어리브.mp4,,,0,3,2026-04-21 08:32:19.522000,2026-05-13 07:26:36.816000,1
52,정관장_추석엔 정관장으로 정하세요.mp4,dd73e1cf_정관장_추석엔_정관장으로_정하세요.mp4,5760965,uploads\2026-04\dd73e1cf_정관장_추석엔_정관장으로_정하세요.mp4,,,0,3,2026-04-21 08:32:19.522000,2026-05-13 07:26:36.817000,1
53,종근당건강 아이클리어_하루 중 눈이 일하는 시간은_ 더 늦기 전에 아이클리어!_15s.mp4,a12e596a_종근당건강_아이클리어_하루_중_눈이_일하는_시간은__더_늦기_전에_아이클리어__15s.mp4,4656685,uploads\2026-04\a12e596a_종근당건강_아이클리어_하루_중_눈이_일하는_시간은__더_늦기_전에_아이클리어__15s.mp4,,,0,3,2026-04-21 08:32:19.792000,2026-05-13 07:26:36.819000,1
54,"질레트 랩스 딥 클렌징 바_질레트 랩스 딥 클렌징 바, 하루종일 깔끔한 면도.mp4",c9b38c05_질레트_랩스_딥_클렌징_바_질레트_랩스_딥_클렌징_바__하루종일_깔끔한_면도.mp4,6246899,uploads\2026-04\c9b38c05_질레트_랩스_딥_클렌징_바_질레트_랩스_딥_클렌징_바__하루종일_깔끔한_면도.mp4,,,0,3,2026-04-21 08:32:20.660000,2026-05-13 07:26:36.821000,1
55,"치센 _치질, 키우지 말고 먹는약 치센!.mp4",f7ae8be7_치센__치질__키우지_말고_먹는약_치센_.mp4,5944711,uploads\2026-04\f7ae8be7_치센__치질__키우지_말고_먹는약_치센_.mp4,,,0,3,2026-04-21 08:32:20.847000,2026-05-13 07:26:36.822000,1
56,치킨매니아 망고치킨_치킨매니아 X 영탁 - 망고치킨.mp4,622cb765_치킨매니아_망고치킨_치킨매니아_X_영탁_-_망고치킨.mp4,6295771,uploads\2026-04\622cb765_치킨매니아_망고치킨_치킨매니아_X_영탁_-_망고치킨.mp4,,,0,3,2026-04-21 08:32:21.165000,2026-05-13 07:26:36.824000,1
57,코끼리 이동식 에어컨_올 여름은 저한테 맡겨주세요!.mp4,444fdf9b_코끼리_이동식_에어컨_올_여름은_저한테_맡겨주세요_.mp4,2583921,uploads\2026-04\444fdf9b_코끼리_이동식_에어컨_올_여름은_저한테_맡겨주세요_.mp4,,,0,3,2026-04-21 08:32:21.785000,2026-05-13 07:26:36.826000,1
58,치킨매니아 오쭈꾸_이..맛남!!! 오!쭈꾸야!!.mp4,6e3dc805_치킨매니아_오쭈꾸_이__맛남____오_쭈꾸야__.mp4,5868509,uploads\2026-04\6e3dc805_치킨매니아_오쭈꾸_이__맛남____오_쭈꾸야__.mp4,,,0,3,2026-04-21 08:32:21.866000,2026-05-13 07:26:36.828000,1
59,카리토포텐_안 깨고. 덜 가고. 시원하게!.mp4,35a87c33_카리토포텐_안_깨고__덜_가고__시원하게_.mp4,5930588,uploads\2026-04\35a87c33_카리토포텐_안_깨고__덜_가고__시원하게_.mp4,,,0,3,2026-04-21 08:32:21.924000,2026-05-13 07:26:36.830000,1
60,켈로그 첵스초코 쿠키앤크림_단백질 50% UP 당류 28% DOWN! 새로나온 첵스초코 쿠키앤크림!.mp4,a65004db_켈로그_첵스초코_쿠키앤크림_단백질_50__UP_당류_28__DOWN__새로나온_첵스초코_쿠.mp4,6014382,uploads\2026-04\a65004db_켈로그_첵스초코_쿠키앤크림_단백질_50__UP_당류_28__DOWN__새로나온_첵스초코_쿠.mp4,,,0,2,2026-04-21 08:32:21.989000,2026-04-23 01:55:05.511000,1
61,켈로그 프로틴 그래놀라 제로슈거_강민경의 ZERO 단백질 프로틴 그래놀라 제로슈거.mp4,55e4baa9_켈로그_프로틴_그래놀라_제로슈거_강민경의_ZERO_단백질_프로틴_그래놀라_제로슈거.mp4,6127697,uploads\2026-04\55e4baa9_켈로그_프로틴_그래놀라_제로슈거_강민경의_ZERO_단백질_프로틴_그래놀라_제로슈거.mp4,,,0,2,2026-04-21 08:32:22.902000,2026-04-23 01:55:05.511000,1
62,톡스올로지 클렌즈 비움·버닝올로지 디데이_2주 구성 다이어트_본.mp4,259920f3_톡스올로지_클렌즈_비움_버닝올로지_디데이_2주_구성_다이어트_본.mp4,5667450,uploads\2026-04\259920f3_톡스올로지_클렌즈_비움_버닝올로지_디데이_2주_구성_다이어트_본.mp4,,,0,2,2026-04-21 08:32:24.023000,2026-04-23 01:55:05.511000,1
63,"판콜_25년 감기엔 판콜_판콜S, H.mp4",b3eba1f4_판콜_25년_감기엔_판콜_판콜S__H.mp4,5913356,uploads\2026-04\b3eba1f4_판콜_25년_감기엔_판콜_판콜S__H.mp4,,,0,2,2026-04-21 08:32:24.341000,2026-04-23 01:55:05.511000,1
64,팔공김치_열무김치.mp4,cf004ccc_팔공김치_열무김치.mp4,5781665,uploads\2026-04\cf004ccc_팔공김치_열무김치.mp4,,,0,2,2026-04-21 08:32:25.315000,2026-04-23 01:55:05.511000,1
65,코스맥스바이오 코드M_원료부터 독보적이다.mp4,9f4cf6cf_코스맥스바이오_코드M_원료부터_독보적이다.mp4,11776058,uploads\2026-04\9f4cf6cf_코스맥스바이오_코드M_원료부터_독보적이다.mp4,,,0,2,2026-04-21 08:32:25.834000,2026-04-23 01:55:05.511000,1
66,탐앤탐스_당신의 모든 일상을 깊고 부드럽게 │ 탐앤탐스 액상커피 마일드 블렌드.mp4,91c3d518_탐앤탐스_당신의_모든_일상을_깊고_부드럽게___탐앤탐스_액상커피_마일드_블렌드.mp4,11438290,uploads\2026-04\91c3d518_탐앤탐스_당신의_모든_일상을_깊고_부드럽게___탐앤탐스_액상커피_마일드_블렌드.mp4,,,0,2,2026-04-21 08:32:26.484000,2026-04-23 01:55:05.511000,1
67,타이완 관광청_낭만은 가까운 곳에_ 여행지원금 이벤트.mp4,0733fb73_타이완_관광청_낭만은_가까운_곳에__여행지원금_이벤트.mp4,11971979,uploads\2026-04\0733fb73_타이완_관광청_낭만은_가까운_곳에__여행지원금_이벤트.mp4,,,0,2,2026-04-21 08:32:26.593000,2026-04-23 01:55:05.511000,1
68,페브리즈 강력탈취_페브리즈 항균플러스 매트리스 향균.mp4,75adb9b7_페브리즈_강력탈취_페브리즈_항균플러스_매트리스_향균.mp4,5947344,uploads\2026-04\75adb9b7_페브리즈_강력탈취_페브리즈_항균플러스_매트리스_향균.mp4,,,0,2,2026-04-21 08:32:26.646000,2026-04-23 01:55:05.511000,1
69,플루아드쿼드_국내 첫 면역반응증강 독감백신 플루아드쿼드 본.mp4,c9477f1c_플루아드쿼드_국내_첫_면역반응증강_독감백신_플루아드쿼드_본.mp4,6106284,uploads\2026-04\c9477f1c_플루아드쿼드_국내_첫_면역반응증강_독감백신_플루아드쿼드_본.mp4,,,0,2,2026-04-21 08:32:28.294000,2026-04-23 01:55:05.511000,1
70,"하나손해보험_강호동의 선택, 하나 다이렉트 자동차보험.mp4",620c3c7d_하나손해보험_강호동의_선택__하나_다이렉트_자동차보험.mp4,5750253,uploads\2026-04\620c3c7d_하나손해보험_강호동의_선택__하나_다이렉트_자동차보험.mp4,,,0,3,2026-04-21 08:32:28.836000,2026-05-13 07:26:36.834000,1
71,하이뮨 케어메이트_든든하게 한 끼 뚝딱_균형영양.mp4,6f6daa4a_하이뮨_케어메이트_든든하게_한_끼_뚝딱_균형영양.mp4,5838601,uploads\2026-04\6f6daa4a_하이뮨_케어메이트_든든하게_한_끼_뚝딱_균형영양.mp4,,,0,3,2026-04-21 08:32:28.960000,2026-05-13 07:26:36.836000,1
72,혈행건강 프로메가_혈행관리는 오메가3로 시작!.mp4,e77bd322_혈행건강_프로메가_혈행관리는_오메가3로_시작_.mp4,5758438,uploads\2026-04\e77bd322_혈행건강_프로메가_혈행관리는_오메가3로_시작_.mp4,,,0,3,2026-04-21 08:32:28.997000,2026-05-13 07:26:36.838000,1
73,"홈키파 홈매트 제로_ZERO로 보호, 효과는 확실!우리집 안심보호막 홈키파 홈매트.mp4",66aa79aa_홈키파_홈매트_제로_ZERO로_보호__효과는_확실_우리집_안심보호막_홈키파_홈매트.mp4,5950716,uploads\2026-04\66aa79aa_홈키파_홈매트_제로_ZERO로_보호__효과는_확실_우리집_안심보호막_홈키파_홈매트.mp4,,,0,3,2026-04-21 08:32:29.600000,2026-05-13 07:26:36.840000,1
74,"휴온스 메노락토_4년 연속 구매율, 인지도, 최선호 브랜드 1위 새로워진 메노락토를 만나보세요!.mp4",09724117_휴온스_메노락토_4년_연속_구매율__인지도__최선호_브랜드_1위_새로워진_메노락토를_만나보.mp4,1921979,uploads\2026-04\09724117_휴온스_메노락토_4년_연속_구매율__인지도__최선호_브랜드_1위_새로워진_메노락토를_만나보.mp4,,,0,3,2026-04-21 08:32:31.284000,2026-05-13 07:26:36.842000,1
75,화이자 코로나19 백신_화이자 코로나19 백신 접종 고사.mp4,6d495fff_화이자_코로나19_백신_화이자_코로나19_백신_접종_고사.mp4,4789192,uploads\2026-04\6d495fff_화이자_코로나19_백신_화이자_코로나19_백신_접종_고사.mp4,,,0,2,2026-04-21 08:32:31.508000,2026-04-23 01:55:05.511000,0
76,풋볼 매니저 26_기성용 감독 영입.mp4,b615d117_풋볼_매니저_26_기성용_감독_영입.mp4,12855595,uploads\2026-04\b615d117_풋볼_매니저_26_기성용_감독_영입.mp4,,,0,3,2026-04-21 08:32:31.924000,2026-05-13 07:26:36.843000,1
77,훼라민Q_갱년기를 편안하게.mp4,d8e9e83d_훼라민Q_갱년기를_편안하게.mp4,5876524,uploads\2026-04\d8e9e83d_훼라민Q_갱년기를_편안하게.mp4,,,0,2,2026-04-21 08:32:32.469000,2026-04-23 01:55:05.511000,0
78,휴렉_어남선생 류수영과 함께하는 정말 다 되는 휴렉의 히트.mp4,960ff1c2_휴렉_어남선생_류수영과_함께하는_정말_다_되는_휴렉의_히트.mp4,6158168,uploads\2026-04\960ff1c2_휴렉_어남선생_류수영과_함께하는_정말_다_되는_휴렉의_히트.mp4,,,1,2,2026-04-21 08:32:32.688000,2026-04-30 04:49:53.203000,0
79,"베스트슬립_5성급 호텔 매트리스, 베스트슬립이 대한민국 축구국가대표팀을 응원합니다.mp4",170ba44c_베스트슬립_5성급_호텔_매트리스__베스트슬립이_대한민국_축구국가대표팀을_응원합니다.mp4,5638376,uploads\2026-04\170ba44c_베스트슬립_5성급_호텔_매트리스__베스트슬립이_대한민국_축구국가대표팀을_응원합니다.mp4,,,1,3,2026-04-23 04:29:48.376000,2026-04-30 04:49:53.231000,1
80,베지밀 고단백두유_정식품 베지밀 고단백두유 CF 플레인맛 출시.mp4,a1a0ff63_베지밀_고단백두유_정식품_베지밀_고단백두유_CF_플레인맛_출시.mp4,6049400,uploads\2026-04\a1a0ff63_베지밀_고단백두유_정식품_베지밀_고단백두유_CF_플레인맛_출시.mp4,,,1,3,2026-04-23 04:29:48.487000,2026-04-30 04:49:12.372000,1
81,보험클리닉_엄마이자 딸.mp4,4e5e1d5b_보험클리닉_엄마이자_딸.mp4,6119951,uploads\2026-04\4e5e1d5b_보험클리닉_엄마이자_딸.mp4,,,1,3,2026-04-23 04:29:48.589000,2026-04-30 04:49:12.367000,1
82,비맥스_건기식.mp4,36e5ee97_비맥스_건기식.mp4,6170333,uploads\2026-04\36e5ee97_비맥스_건기식.mp4,,,1,3,2026-04-23 04:29:48.692000,2026-04-30 04:49:12.361000,1
83,빙그레 딥앤로우_맛있는 저당 아이스크림 딥앤로우 15s.mp4,8d60bab8_빙그레_딥앤로우_맛있는_저당_아이스크림_딥앤로우_15s.mp4,5987483,uploads\2026-04\8d60bab8_빙그레_딥앤로우_맛있는_저당_아이스크림_딥앤로우_15s.mp4,,,1,3,2026-04-23 04:29:48.780000,2026-04-30 04:48:41.195000,1
